riskType,id,openDate,closeDate,optionSymbol,symbol,fillPrice,initialAsk,maxPrice,preTradeBalance,tradeAmount,pl,postTradeBalance,lastPrice,finalAmount,status,quantity,trim1Price,trim1Quantity,trim1PriceFinal,trim2Price,trim2Quantity,trim2PriceFinal,trimStatus,stopPriceFinal
Lotto,796970506624367,2024-02-01,2024-02-01 03:00:00,SPY240201C0036100,SPY,0.16,0.16,0.27,4000.0,160.0,233,4233.0,0.0,0.0,5,10,0.27,5,0.27,0.0,0,0.0,1,0.27
Lotto,697155202894214,2024-02-02,2024-02-02 04:00:00,LUV240202C0033000,LUV,1.89,1.89,2.22,4233.0,189.0,-189,4044.0,0.0,0.0,5,1,3.21,1,0.0,0.0,0,0.0,0,0.0
Base,146134383987820,2024-02-05,2024-02-05 07:00:00,MCD240205C0031300,MCD,0.34,0.34,0.99,4044.0,170.0,337,4381.0,0.0,0.0,5,5,0.44,3,0.44,0.58,2,0.58,2,0.58
Vision,396907689369937,2024-02-06,2024-02-06 06:00:00,XOM240206C0033400,XOM,1.42,1.42,2.82,4381.0,142.0,173,4554.0,0.0,0.0,5,1,0.0,0,0.0,0.0,0,0.0,0,1.62
Lotto,126472439470938,2024-02-07,2024-02-07 07:00:00,SPY231117C0039300,SPY,1.76,1.76,1.88,4554.0,176.0,215,4769.0,0.0,0.0,5,1,2.99,1,0.0,0.0,0,0.0,0,0.0
Lotto,746049591196697,2024-02-08,2024-02-08 06:00:00,XOM240208C0047800,XOM,1.47,1.47,3.68,4769.0,147.0,165,4934.0,0.0,0.0,5,1,2.5,1,2.5,0.0,0,0.0,1,2.5
Base,283155260938773,2024-02-09,2024-02-09 03:00:00,SPY231125P0034000,SPY,0.37,0.37,0.55,4934.0,222.0,333,5267.0,0.0,0.0,5,6,0.48,3,0.48,0.63,3,0.0,1,0.48
Lotto,528043706331138,2024-02-12,2024-02-12 05:00:00,IWM240212P0047800,IWM,0.7,0.7,1.16,5267.0,210.0,365,5632.0,0.0,0.0,5,3,1.19,2,0.0,0.0,0,0.0,0,0.0
Lotto,475545787581201,2024-02-13,2024-02-13 03:00:00,AMD240213C0053800,AMD,1.38,1.38,2.91,5632.0,276.0,311,5943.0,0.0,0.0,5,2,2.35,1,2.35,0.0,0,0.0,1,2.35
Lotto,266298649802674,2024-02-14,2024-02-14 04:00:00,AMD240214C0050500,AMD,0.61,0.61,1.61,5943.0,244.0,-244,5699.0,0.0,0.0,5,4,1.04,2,1.04,0.0,0,0.0,1,1.04
Base,246162979553161,2024-02-15,2024-02-15 01:00:00,BAC240215P0038400,BAC,0.73,0.73,1.9,5699.0,219.0,433,6132.0,0.0,0.0,5,3,0.95,2,0.95,1.24,1,1.24,2,1.24
Base,519093635205936,2024-02-16,2024-02-16 05:00:00,SPY231217P0046200,SPY,0.51,0.51,0.96,6132.0,255.0,260,6392.0,0.0,0.0,5,5,0.66,3,0.66,0.87,2,0.87,2,0.87
Vision,540559473940191,2024-02-19,2024-02-19 02:00:00,SPY231222C0047000,SPY,0.71,0.71,0.76,6392.0,284.0,534,6926.0,0.0,0.0,5,4,0.0,0,0.0,0.0,0,0.0,0,0.59
Lotto,832814013649955,2024-02-20,2024-02-20 07:00:00,SPY231227P0055800,SPY,0.78,0.78,1.52,6926.0,312.0,508,7434.0,0.0,0.0,5,4,1.33,2,1.33,0.0,0,0.0,1,1.33
Vision,182679349775129,2024-02-21,2024-02-21 04:00:00,BAC240221C0056700,BAC,0.83,0.83,0.93,7434.0,332.0,332,7766.0,0.0,0.0,5,4,0.0,0,0.0,0.0,0,0.0,0,0.45
Vision,867352992870558,2024-02-22,2024-02-22 06:00:00,QQQ240222C0039000,QQQ,1.25,1.25,3.43,7766.0,375.0,-375,7391.0,0.0,0.0,5,3,0.0,0,0.0,0.0,0,0.0,0,1.43
Base,150220500239085,2024-02-23,2024-02-23 01:00:00,MCD240223C0045400,MCD,1.89,1.89,2.78,7391.0,378.0,565,7956.0,0.0,0.0,5,2,2.46,1,2.46,3.21,1,0.0,1,2.46
Base,202159273984766,2024-02-26,2024-02-26 05:00:00,SPY240105C0036700,SPY,0.9,0.9,1.6,7956.0,360.0,444,8400.0,0.0,0.0,5,4,1.17,2,1.17,1.53,2,1.53,2,1.53
Base,893796276326817,2024-02-27,2024-02-27 07:00:00,SPY240109C0058400,SPY,1.13,1.13,1.9,8400.0,339.0,558,8958.0,0.0,0.0,5,3,1.47,2,1.47,1.92,1,0.0,1,1.47
Lotto,924832410623269,2024-02-28,2024-02-28 02:00:00,HPQ240228P0048700,HPQ,0.34,0.34,0.45,8958.0,374.0,476,9434.0,0.0,0.0,5,11,0.58,6,0.0,0.0,0,0.0,0,0.0
Lotto,435333620001556,2024-02-29,2024-02-29 04:00:00,SPX240229C0038100,SPX,0.7,0.7,1.88,9434.0,420.0,431,9865.0,0.0,0.0,5,6,1.19,3,1.19,0.0,0,0.0,1,1.19
Base,947083982689503,2024-03-01,2024-03-01 01:00:00,AXP240301P0037400,AXP,1.26,1.26,2.99,9865.0,378.0,664,10529.0,0.0,0.0,5,3,1.64,2,1.64,2.14,1,2.14,2,2.14
Vision,922124527598042,2024-03-04,2024-03-04 01:00:00,SPY240122C0030700,SPY,1.56,1.56,4.33,10529.0,468.0,-468,10061.0,0.0,0.0,5,3,0.0,0,0.0,0.0,0,0.0,0,3.99
Base,122320961988884,2024-03-05,2024-03-05 03:00:00,IWM240305P0037200,IWM,1.01,1.01,1.41,10061.0,404.0,540,10601.0,0.0,0.0,5,4,1.31,2,1.31,1.72,2,0.0,1,1.31
Lotto,563391466377488,2024-03-06,2024-03-06 05:00:00,NKE240306C0049200,NKE,1.75,1.75,3.65,10601.0,525.0,564,11165.0,0.0,0.0,5,3,2.98,2,2.98,0.0,0,0.0,1,2.98
Vision,238349837736848,2024-03-07,2024-03-07 01:00:00,QQQ240307C0032700,QQQ,1.91,1.91,3.02,11165.0,382.0,573,11738.0,0.0,0.0,5,2,0.0,0,0.0,0.0,0,0.0,0,4.6
Vision,951066506864802,2024-03-08,2024-03-08 04:00:00,SPY240206P0048700,SPY,0.28,0.28,0.69,11738.0,504.0,971,12709.0,0.0,0.0,5,18,0.0,0,0.0,0.0,0,0.0,0,0.31
Lotto,381686917791551,2024-03-11,2024-03-11 06:00:00,NKE240311P0050700,NKE,1.19,1.19,1.57,12709.0,476.0,-476,12233.0,0.0,0.0,5,4,2.02,2,0.0,0.0,0,0.0,0,0.0
Lotto,554054906902714,2024-03-12,2024-03-12 06:00:00,AMD240312C0041000,AMD,1.9,1.9,5.49,12233.0,570.0,-570,11663.0,0.0,0.0,5,3,3.23,2,3.23,0.0,0,0.0,1,3.23
Vision,458564322535736,2024-03-13,2024-03-13 03:00:00,QQQ240313C0056500,QQQ,0.92,0.92,1.25,11663.0,460.0,671,12334.0,0.0,0.0,5,5,0.0,0,0.0,0.0,0,0.0,0,-0.41
Vision,882583775776606,2024-03-14,2024-03-14 06:00:00,IWM240314P0033100,IWM,0.32,0.32,0.92,12334.0,512.0,-512,11822.0,0.0,0.0,5,16,0.0,0,0.0,0.0,0,0.0,0,0.05
Lotto,141371750719049,2024-03-15,2024-03-15 07:00:00,SPY240221C0047100,SPY,1.42,1.42,4.15,11822.0,426.0,798,12620.0,0.0,0.0,5,3,2.41,2,2.41,0.0,0,0.0,1,2.41
Vision,422801323017919,2024-03-18,2024-03-18 06:00:00,HPQ240318C0055200,HPQ,1.06,1.06,1.4,12620.0,530.0,677,13297.0,0.0,0.0,5,5,0.0,0,0.0,0.0,0,0.0,0,2.51
Base,558490110519581,2024-03-19,2024-03-19 03:00:00,AXP240319P0046700,AXP,0.19,0.19,0.41,13297.0,551.0,-551,12746.0,0.0,0.0,5,29,0.25,15,0.25,0.32,14,0.32,2,0.32
Vision,797189778503373,2024-03-20,2024-03-20 06:00:00,SPY240303C0046200,SPY,1.59,1.59,1.67,12746.0,477.0,863,13609.0,0.0,0.0,5,3,0.0,0,0.0,0.0,0,0.0,0,1.64
Base,132449760259507,2024-03-21,2024-03-21 01:00:00,QQQ240321C0053700,QQQ,0.92,0.92,1.81,13609.0,552.0,616,14225.0,0.0,0.0,5,6,1.2,3,1.2,1.56,3,1.56,2,1.56
Base,141065471456736,2024-03-22,2024-03-22 06:00:00,SPY240309P0042500,SPY,1.25,1.25,2.51,14225.0,625.0,-625,13600.0,0.0,0.0,5,5,1.62,3,1.62,2.12,2,2.12,2,2.12
